,Tipo,Alto,Normal,Baixo,Mínimo
09/2016,Tipo7,,945.7,713.62,630.81
10/2016,Tipo1,,1073.85,733.18,635.26
10/2016,Tipo2,,1206.77,823.26,713.8
10/2016,Tipo3,,1195.74,837.82,736.25
10/2016,Tipo4,1172.28,1019.21,692.66,
10/2016,Tipo5,,1302.05,890.99,777.77
10/2016,Tipo6,,1104.49,827.25,732.55
10/2016,Tipo7,,947.03,714.99,632.49
11/2016,Tipo1,,1074.12,735.14,636.38
11/2016,Tipo2,,1207.07,825.43,715.06
11/2016,Tipo3,,1196.56,839.97,737.5
11/2016,Tipo4,1177.93,1019.45,693.97,
11/2016,Tipo5,,1302.16,893.53,779.29
11/2016,Tipo6,,1105.1,828.79,733.1
11/2016,Tipo7,,947.32,716.04,632.74
12/2016,Tipo1,,1074.06,735.53,636.43
12/2016,Tipo2,,1207.15,825.93,715.26
12/2016,Tipo3,,1196.43,840.22,737.49
12/2016,Tipo4,1177.14,1019.28,694.34,
12/2016,Tipo5,,1302.32,894.01,779.48
12/2016,Tipo6,,1105.44,829.15,733.3
12/2016,Tipo7,,948.06,716.84,633.27
01/2017,Tipo1,,1079.45,740.1,641.45
01/2017,Tipo2,,1213.08,830.95,720.65
01/2017,Tipo3,,1202.94,846.1,743.8
01/2017,Tipo4,1177.85,1024.11,698.66,
01/2017,Tipo5,,1308.92,899.54,785.4
01/2017,Tipo6,,1111.02,834.05,738.56
01/2017,Tipo7,,952.1,720.52,637.39
02/2017,Tipo1,,1082.64,737.75,639.62
02/2017,Tipo2,,1216.74,828.42,718.75
02/2017,Tipo3,,1205.55,843.43,741.71
02/2017,Tipo4,1181.15,1026.33,696.34,
02/2017,Tipo5,,1313.42,896.79,783.28
02/2017,Tipo6,,1113.18,833.24,738.59
02/2017,Tipo7,,954.48,719.55,636.86
03/2017,Tipo1,,1082.17,739.51,640.6
03/2017,Tipo2,,1216.36,830.41,719.87
03/2017,Tipo3,,1204.85,844.7,742.37
03/2017,Tipo4,1179.91,1025.29,697.11,
03/2017,Tipo5,,1313.2,899.25,784.73
03/2017,Tipo6,,1112.41,833.45,738.07
03/2017,Tipo7,,953.29,719.29,636.02
04/2017,Tipo1,,1079.27,739.48,641.35
04/2017,Tipo2,,1213.24,830.51,720.83
04/2017,Tipo3,,1202.52,845.1,743.53
04/2017,Tipo4,1181.57,1023.27,697.38,
04/2017,Tipo5,,1309.59,899.33,785.8
04/2017,Tipo6,,1111.73,834.3,739.66
04/2017,Tipo7,,953.35,721.07,638.46
05/2017,Tipo1,,1074.28,738.49,640
05/2017,Tipo2,,1208.33,829.74,719.56
05/2017,Tipo3,,1199.57,846.01,744.22
05/2017,Tipo4,1177.13,1018.29,696.23,
05/2017,Tipo5,,1304.91,898.86,784.65
05/2017,Tipo6,,1111.03,835.43,740.71
05/2017,Tipo7,,952.84,722.08,639.3
06/2017,Tipo1,,1096.49,745.17,647.88
06/2017,Tipo2,,1232.29,837.25,728.11
06/2017,Tipo3,,1221.17,852.77,751.7
06/2017,Tipo4,1198.82,1038.98,702.72,
06/2017,Tipo5,,1331.3,906.95,793.58
06/2017,Tipo6,,1122.48,839.62,745.67
06/2017,Tipo7,,963.35,725.56,643.64
07/2017,Tipo1,,1092.99,743.72,647
07/2017,Tipo2,,1228.46,835.63,727.02
07/2017,Tipo3,,1217.51,851.11,750.51
07/2017,Tipo4,1196.17,1035.51,700.92,
07/2017,Tipo5,,1326.91,905.03,792.27
07/2017,Tipo6,,1118.2,836.44,742.86
07/2017,Tipo7,,958.38,721.63,640.21
08/2017,Tipo1,,1097.09,745.71,648.53
08/2017,Tipo2,,1233.59,837.99,729.03
08/2017,Tipo3,,1222.16,853.74,752.99
08/2017,Tipo4,1199.43,1039.7,702.98,
08/2017,Tipo5,,1331.59,907.26,794.44
08/2017,Tipo6,,1123.53,839.94,745.83
08/2017,Tipo7,,964.27,725.44,643.83
09/2017,Tipo1,,1104.26,752.4,653.77
09/2017,Tipo2,,1241.33,845.29,734.75
09/2017,Tipo3,,1229.99,860.93,758.9
09/2017,Tipo4,1207.23,1046.53,709.25,
09/2017,Tipo5,,1339.53,914.92,800.44
09/2017,Tipo6,,1130.19,846.02,750.45
09/2017,Tipo7,,969.41,730.39,647.57
10/2017,Tipo1,,1128.14,770.74,669.54
10/2017,Tipo2,,1268.14,865.99,752.5
10/2017,Tipo3,,1257.16,882.02,777.29
10/2017,Tipo4,1233.08,1069.5,726.64,
10/2017,Tipo5,,1367.57,937.18,819.67
10/2017,Tipo6,,1156.4,867.28,769.21
10/2017,Tipo7,,990.3,747.95,663.02
11/2017,Tipo1,,1130.62,770.51,669.48
11/2017,Tipo2,,1271.16,865.91,752.67
11/2017,Tipo3,,1260.28,882.61,777.94
11/2017,Tipo4,1237.8,1072.01,727.05,
11/2017,Tipo5,,1371.08,936.75,819.58
11/2017,Tipo6,,1160.18,868.77,770.88
11/2017,Tipo7,,994.17,749.97,665.08
12/2017,Tipo1,,1130.19,770.93,669.35
12/2017,Tipo2,,1270.85,866.45,752.64
12/2017,Tipo3,,1260.23,883.19,777.94
12/2017,Tipo4,1238.34,1072.12,727.7,
12/2017,Tipo5,,1371.05,937.64,819.61
12/2017,Tipo6,,1160.78,869.67,771.44
12/2017,Tipo7,,995.56,751.48,666.06
01/2018,Tipo1,,1129.68,772.77,670.32
01/2018,Tipo2,,1270.43,868.6,753.87
01/2018,Tipo3,,1260.39,885.63,779.44
01/2018,Tipo4,1238.29,1072.04,729.76,
01/2018,Tipo5,,1370.37,939.63,820.72
01/2018,Tipo6,,1160.28,870.75,772.08
01/2018,Tipo7,,995.69,752.89,666.94
02/2018,Tipo1,,1136.33,778.54,676.82
02/2018,Tipo2,,1277.94,875.13,761.06
02/2018,Tipo3,,1267.47,892.16,786.73
02/2018,Tipo4,1243.66,1077.3,734.58,
02/2018,Tipo5,,1378.37,946.8,828.74
02/2018,Tipo6,,1166.64,875.75,777.45
02/2018,Tipo7,,999.63,756.64,671.59
03/2018,Tipo1,,1133.39,775.22,672.21
03/2018,Tipo2,,1274.67,871.53,756
03/2018,Tipo3,,1264.22,888.65,781.99
03/2018,Tipo4,1239.68,1074.67,731.86,
03/2018,Tipo5,,1374.3,942.46,822.88
03/2018,Tipo6,,1165.02,874.38,774.77
03/2018,Tipo7,,998.36,755.81,669.72
04/2018,Tipo1,,1141.02,784.37,679.34
04/2018,Tipo2,,1283.02,881.51,763.72
04/2018,Tipo3,,1273.66,898.78,790.14
04/2018,Tipo4,1248.36,1082.59,740.36,
04/2018,Tipo5,,1382.82,953.25,831.28
04/2018,Tipo6,,1174.79,883.62,781.75
04/2018,Tipo7,,1005.78,763.48,675.61
05/2018,Tipo1,,1138.14,779.86,675.05
05/2018,Tipo2,,1280.11,876.79,759.31
05/2018,Tipo3,,1270.57,893.72,785.22
05/2018,Tipo4,1244.82,1080.65,735.97,
05/2018,Tipo5,,1379.55,948.2,826.47
05/2018,Tipo6,,1171.87,880.04,778.34
05/2018,Tipo7,,1004.4,760.87,672.94
06/2018,Tipo1,,1132.28,781.16,675.05
06/2018,Tipo2,,1273.96,878.19,759.33
06/2018,Tipo3,,1265.4,895.22,785.55
06/2018,Tipo4,1238.5,1075.51,737.35,
06/2018,Tipo5,,1372.86,949.75,826.65
06/2018,Tipo6,,1171.46,883.3,780.69
06/2018,Tipo7,,1003.97,763.45,674.58
07/2018,Tipo1,,1133.75,781.31,675.74
07/2018,Tipo2,,1275.55,878.31,760.14
07/2018,Tipo3,,1267.2,896.27,786.92
07/2018,Tipo4,1240.43,1076.55,738.03,
07/2018,Tipo5,,1374.76,949.42,827.31
07/2018,Tipo6,,1172.63,883.9,781.96
07/2018,Tipo7,,1005.53,764.55,675.99
08/2018,Tipo1,,1132.73,800.81,691.58
08/2018,Tipo2,,1274.58,900.52,778.46
08/2018,Tipo3,,1266.67,917.85,804.82
08/2018,Tipo4,1242.86,1075.59,756.42,
