,Tipo,Alto,Normal,Baixo,Mínimo
1/2011,Tipo4,850.12,727.34,511.36,
1/2011,Tipo5,,924.4,650.42,553.29
1/2011,Tipo6,,783.06,598.94,527.84
1/2011,Tipo7,,683.67,526.01,457.71
2/2011,Tipo1,,762.68,538.38,454.17
2/2011,Tipo2,,857.65,604.48,510.23
2/2011,Tipo3,,856.63,618.21,530.06
2/2011,Tipo4,852.92,729.47,512.14,
2/2011,Tipo5,,927.12,651.27,554.07
2/2011,Tipo6,,785.54,599.95,528.79
2/2011,Tipo7,,685.99,527.1,458.77
3/2011,Tipo1,,764.61,538.3,455.58
3/2011,Tipo2,,859.76,604.39,511.79
3/2011,Tipo3,,858.72,618.31,531.65
3/2011,Tipo4,853.76,731.22,512,
3/2011,Tipo5,,929.45,651.39,555.8
3/2011,Tipo6,,787.23,600.75,530.33
3/2011,Tipo7,,687.67,527.66,460.25
4/2011,Tipo1,,766.98,537.62,455.31
4/2011,Tipo2,,862.61,603.72,511.54
4/2011,Tipo3,,861.33,617.6,531.31
4/2011,Tipo4,856.04,733.02,511.22,
4/2011,Tipo5,,932.62,650.67,555.48
4/2011,Tipo6,,788.6,598.96,529.03
4/2011,Tipo7,,688.08,525.99,458.94
5/2011,Tipo1,,805.29,565.93,480.44
5/2011,Tipo2,,905.83,635.8,539.93
5/2011,Tipo3,,904.54,650.15,560.54
5/2011,Tipo4,894.99,769.59,537.93,
5/2011,Tipo5,,978.16,685.04,586.24
5/2011,Tipo6,,831.1,632.97,560.04
5/2011,Tipo7,,722.6,554.12,484.79
6/2011,Tipo1,,805.96,566.7,481.44
6/2011,Tipo2,,906.89,636.88,541.24
6/2011,Tipo3,,906.2,651.22,561.82
6/2011,Tipo4,894.62,770.96,538.88,
6/2011,Tipo5,,978.2,685.75,587.23
6/2011,Tipo6,,833.3,634.41,561.63
6/2011,Tipo7,,724.52,555.83,486.68
7/2011,Tipo1,,809.27,567.4,481.71
7/2011,Tipo2,,910.28,637.56,541.45
7/2011,Tipo3,,909.35,651.98,562.14
7/2011,Tipo4,897.76,773.9,539.57,
7/2011,Tipo5,,982.07,686.62,587.65
7/2011,Tipo6,,834.71,634.62,561.53
7/2011,Tipo7,,725.57,555.97,486.53
8/2011,Tipo1,,811.12,568.88,482.54
8/2011,Tipo2,,912.25,639.16,542.38
8/2011,Tipo3,,910.78,653.29,562.87
8/2011,Tipo4,899.18,774.94,540.67,
8/2011,Tipo5,,984.67,688.61,588.86
8/2011,Tipo6,,835.41,635.69,562.07
8/2011,Tipo7,,726.59,556.97,486.97
9/2011,Tipo1,,813.05,569.76,484.74
9/2011,Tipo2,,914.47,640.04,544.71
9/2011,Tipo3,,912.77,654.18,564.99
9/2011,Tipo4,903.49,776.88,541.49,
9/2011,Tipo5,,987.97,690.06,591.51
9/2011,Tipo6,,836.39,635.79,562.64
9/2011,Tipo7,,728.19,556.92,487.52
10/2011,Tipo1,,814.84,573.62,488.13
10/2011,Tipo2,,916.46,644.29,548.39
10/2011,Tipo3,,914.53,658.27,568.87
10/2011,Tipo4,905.27,777.73,544.75,
10/2011,Tipo5,,989.84,694.27,595.52
10/2011,Tipo6,,839.11,639.42,566.25
10/2011,Tipo7,,729.64,559.82,490.71
11/2011,Tipo1,,815.75,576.51,490.17
11/2011,Tipo2,,917.32,647.5,550.62
11/2011,Tipo3,,915.41,661.12,570.84
11/2011,Tipo4,908.66,779.39,547.82,
11/2011,Tipo5,,990.24,697.52,597.74
11/2011,Tipo6,,840.39,642.27,568.41
11/2011,Tipo7,,731.22,562.62,492.88
